
Multinomial Naive Bayes
Accuracy: 0.8724137931034482
Execution time: 11.560283184051514 seconds
Classification Report:
              precision    recall  f1-score   support

           0       0.86      0.82      0.84       151
           1       0.85      0.83      0.84       202
           2       0.84      0.83      0.83       195
           3       0.65      0.87      0.74       183
           4       0.94      0.89      0.92       205
           5       0.94      0.86      0.90       215
           6       0.94      0.67      0.79       193
           7       0.88      0.94      0.91       196
           8       0.91      0.96      0.94       168
           9       0.97      0.96      0.97       211
          10       0.94      0.98      0.96       198
          11       0.84      0.98      0.91       201
          12       0.93      0.82      0.87       202
          13       0.97      0.93      0.95       194
          14       0.94      0.99      0.96       189
          15       0.67      1.00      0.80       202
          16       0.80      0.97      0.88       188
          17       0.93      0.98      0.95       182
          18       0.97      0.71      0.82       159
          19       1.00      0.24      0.38       136

    accuracy                           0.87      3770
   macro avg       0.89      0.86      0.86      3770
weighted avg       0.89      0.87      0.87      3770

Multinomial Naive Bayes
Accuracy: 0.8724137931034482
Execution time: 9.435065031051636 seconds
Classification Report:
              precision    recall  f1-score   support

           0       0.86      0.82      0.84       151
           1       0.85      0.83      0.84       202
           2       0.84      0.83      0.83       195
           3       0.65      0.87      0.74       183
           4       0.94      0.89      0.92       205
           5       0.94      0.86      0.90       215
           6       0.94      0.67      0.79       193
           7       0.88      0.94      0.91       196
           8       0.91      0.96      0.94       168
           9       0.97      0.96      0.97       211
          10       0.94      0.98      0.96       198
          11       0.84      0.98      0.91       201
          12       0.93      0.82      0.87       202
          13       0.97      0.93      0.95       194
          14       0.94      0.99      0.96       189
          15       0.67      1.00      0.80       202
          16       0.80      0.97      0.88       188
          17       0.93      0.98      0.95       182
          18       0.97      0.71      0.82       159
          19       1.00      0.24      0.38       136

    accuracy                           0.87      3770
   macro avg       0.89      0.86      0.86      3770
weighted avg       0.89      0.87      0.87      3770
